"sub","distBtwShapes","trial_number","cuedAR","uncuedAR","responseAR","rt","global_org","cued_ellipse","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","sameDirection1S0D","responseError","sameCatS1D0","identicalShapesI1D0","uncuedCatM1F0C1T"
293737,402,49,-0.18532775,0.18532679,-0.09266412,2367,1,1,90,270,1,0.8,90,0,0.09266363,0,0,1
293737,402,50,0.27799043,-0.32432321,-0.00000048,2723,1,1,180,180,1,0.8,180,1,-0.27799091,0,0,-1
293737,402,51,-0.37065503,0.18532679,-0.18532775,2980,1,1,270,90,1,0.6,270,0,0.18532728,0,0,1
293737,402,52,-0.27799139,0.4633177,0.23165861,1582,0,1,0,180,1,0.8,0,0,0.50965,0,0,1
293737,402,53,-0.27799139,-0.18532775,-0.32432321,1813,0,1,180,180,1,0.8,180,1,-0.04633182,1,0,-1
293737,402,54,-0.13899593,-0.37065503,-0.00000048,4756,1,2,270,270,1,0.8,270,1,0.13899545,1,0,-1
293737,402,55,0.37065407,0.23165861,0.04633134,1838,0,1,270,90,1,0.6,270,0,-0.32432273,1,0,1
293737,402,56,-0.00000048,-0.13899593,-0.00000048,10249,0,1,0,0,1,0.6,0,1,0,0,0,-1
293737,402,57,-0.46331866,0.13899498,-0.13899593,2289,0,1,90,90,1,0.8,90,1,0.32432273,0,0,1
293737,402,58,0.27799043,-0.37065503,-0.0463323,1422,1,2,180,0,1,0.8,0,0,-0.32432273,0,0,-1
293737,402,59,0.18532679,-0.09266412,-0.0463323,1985,0,2,180,180,1,0.8,180,1,-0.23165909,0,0,-1
293737,402,60,-0.0463323,-0.00000048,0.04633134,1381,1,2,90,90,1,0.6,90,1,0.09266364,0,0,0
293737,402,61,-0.27799139,0.4633177,-0.00000048,1261,0,2,90,90,1,0.6,90,1,0.27799091,0,0,1
293737,402,62,0.09266316,-0.37065503,0.13899498,1533,0,1,90,270,1,0.8,90,0,0.04633182,0,0,-1
293737,402,63,0.23165861,0.41698588,0.27799043,1739,1,2,0,0,1,0.6,0,1,0.04633182,1,0,1
293737,402,64,-0.00000048,-0.23165957,0.23165861,2482,0,1,0,180,1,0.8,0,0,0.23165909,0,0,-1
293737,402,65,-0.13899593,-0.13899593,-0.13899593,2124,1,2,0,180,1,0.8,180,0,0,1,1,-1
293737,402,66,0.4633177,-0.09266412,0.37065407,1557,1,2,90,90,1,0.8,90,1,-0.09266363,0,0,-1
293737,402,67,0.09266316,0.37065407,0.13899498,1356,1,1,180,0,1,0.6,180,0,0.04633182,1,0,1
293737,402,68,0.23165861,-0.46331866,-0.00000048,1402,0,1,180,0,1,0.6,180,0,-0.23165909,0,0,-1
293737,402,69,0.32432225,-0.46331866,0.13899498,1806,0,1,270,90,1,0.6,270,0,-0.18532727,0,0,-1
293737,402,70,0.4633177,-0.0463323,0.41698588,1767,0,2,270,90,1,0.8,90,0,-0.04633182,0,0,-1
293737,402,71,0.18532679,0.13899498,0.27799043,1562,1,1,180,180,1,0.8,180,1,0.09266364,1,0,1
293737,402,72,0.37065407,-0.32432321,-0.00000048,1602,1,2,270,270,1,0.6,270,1,-0.37065455,0,0,-1
293737,402,73,0.13899498,-0.23165957,-0.09266412,1360,0,2,180,180,1,0.8,180,1,-0.2316591,0,0,-1
293737,402,74,-0.27799139,-0.09266412,-0.00000048,5043,1,1,90,270,1,0.6,90,0,0.27799091,1,0,-1
293737,402,75,-0.18532775,0.27799043,-0.23165957,1424,1,1,180,0,1,0.6,180,0,-0.04633182,0,0,1
293737,402,76,-0.46331866,0.4633177,-0.32432321,1975,1,2,180,0,1,0.6,0,0,0.13899545,0,0,1
293737,402,77,-0.13899593,0.4633177,0.27799043,1597,0,1,90,90,1,0.6,90,1,0.41698636,0,0,1
293737,402,78,0.37065407,-0.27799139,0.09266316,1269,0,1,90,270,1,0.8,90,0,-0.27799091,0,0,-1
293737,402,79,0.37065407,-0.27799139,0.09266316,1995,1,2,270,90,1,0.8,90,0,-0.27799091,0,0,-1
293737,402,80,0.37065407,0.4633177,0.41698588,1584,0,2,0,180,1,0.6,180,0,0.04633181,1,0,1
293737,402,81,0.04633134,-0.0463323,-0.00000048,1430,1,1,180,180,1,0.6,180,1,-0.04633182,0,0,-1
293737,402,82,-0.23165957,-0.41698684,-0.37065503,1932,1,1,180,180,1,0.8,180,1,-0.13899546,1,0,-1
293737,402,83,0.09266316,-0.32432321,0.27799043,2287,0,1,90,90,1,0.8,90,1,0.18532727,0,0,-1
293737,402,84,0.23165861,0.41698588,-0.13899593,1517,0,2,270,90,1,0.6,90,0,-0.37065454,1,0,1
293737,402,85,-0.09266412,-0.18532775,-0.13899593,1996,0,2,90,90,1,0.8,90,1,-0.04633181,1,0,-1
293737,402,86,-0.46331866,0.09266316,-0.37065503,2110,0,1,180,180,1,0.6,180,1,0.09266363,0,0,1
293737,402,87,0.04633134,0.37065407,-0.00000048,3328,0,2,90,270,1,0.8,270,0,-0.04633182,1,0,1
293737,402,88,0.09266316,0.18532679,-0.00000048,2259,1,1,180,180,1,0.8,180,1,-0.09266364,1,0,1
293737,402,89,-0.13899593,-0.32432321,-0.18532775,1299,0,2,180,180,1,0.8,180,1,-0.04633182,1,0,-1
293737,402,90,-0.41698684,-0.18532775,-0.27799139,3181,0,1,270,90,1,0.6,270,0,0.13899545,1,0,-1
293737,402,91,-0.23165957,-0.23165957,-0.18532775,1125,0,2,180,0,1,0.8,0,0,0.04633182,1,1,-1
293737,402,92,0.32432225,-0.13899593,0.37065407,1466,1,2,0,180,1,0.8,180,0,0.04633182,0,0,-1
293737,402,93,-0.37065503,0.37065407,-0.27799139,2233,1,2,90,270,1,0.6,270,0,0.09266364,0,0,1
293737,402,94,-0.00000048,0.18532679,-0.0463323,2399,0,2,0,180,1,0.8,180,0,-0.04633182,0,0,1
293737,402,95,-0.37065503,0.13899498,-0.27799139,3331,1,2,270,270,1,0.6,270,1,0.09266364,0,0,1
293737,402,96,-0.18532775,-0.27799139,0.04633134,1615,0,1,270,90,1,0.8,270,0,0.23165909,1,0,-1
293737,402,97,-0.0463323,-0.37065503,0.13899498,1072,0,1,90,270,1,0.6,90,0,0.18532728,1,0,-1
293737,402,98,0.13899498,-0.09266412,-0.00000048,1912,1,2,270,270,1,0.6,270,1,-0.13899546,0,0,-1
293737,402,99,-0.09266412,0.27799043,0.32432225,1396,0,1,180,0,1,0.8,180,0,0.41698637,0,0,1
